월,품목명,HS코드,수출금액_USD,수출중량_KG,수출단가_USD_per_KG,YoY_pct,MoM_pct
2021.05,DRAM모듈,8473304060,952576960,149328,6379.0914,-13.91,-5.47
2021.05,변압기,8504,197908709,9072046,21.8152,34.18,-9.11
2021.05,대형변압기,8504230000,8091810,958258,8.4443,-59.59,-70.29
2021.05,리튬1차전지,8506500000,8429659,121797,69.2107,26.57,26.32
2021.05,리튬이온전지_ESS_proxy,850760,487699996,15609728,31.2433,29.18,5.27
2021.05,SSD,8523511000,965062743,242618,3977.7046,0.92,29.34
2021.05,MLCC,8532240000,111308951,560797,198.4835,24.43,-2.79
2021.05,PCB,853400,438062346,1640348,267.0545,23.98,1.78
2021.05,"GDDR기판, FPCB",8534002000,231133706,398452,580.0792,34.78,4.77
2021.05,PCB,8534009000,205458326,1229154,167.1543,14.03,-1.31
2021.05,소켓,8536909090,65654496,1241113,52.8997,50.81,-6.89
2021.05,태양광패널,8541430000,94814960,14733613,6.4353,-6.24,-3.96
2021.05,반도체전체,8542,8663511287,1735191,4992.8286,30.58,9.88
2021.05,DRAM,8542321010,1946726364,161139,12081.0379,12.56,4.76
2021.05,NAND Flash,8542321030,587405784,53677,10943.3423,22.9,19.54
2021.05,MCP,8542323000,2730603865,82997,32900.0309,28.87,24.37
2021.05,해저케이블(2),8544602010,13489993,2448647,5.5092,0.7,83.93
2021.05,해저케이블(1),8544603010,16752012,2476739,6.7637,20.52,-58.44
2021.05,체성분분석기,9018198000,5625637,36119,155.7528,25.67,19.1
2021.05,인터페이스보드,9030901000,32077401,25779,1244.3229,3.51,0.14
2021.06,라면,1902301010,53879580,15491023,3.4781,2.11,4.95
2021.06,양극재 NCM,2841909020,358852381,15058578,23.8304,155.99,2.98
2021.06,톡신,300249,26100104,31989,815.9087,75.8,28.06
2021.06,톡신,3002491000,26100104,31989,815.9087,75.8,28.06
2021.06,창상피복재,3005904000,5248425,60196,87.1889,128.64,81.2
2021.06,화장품,330499,556283844,19463604,28.5807,36.48,-10.52
2021.06,기초화장품,3304991000,340359168,12270695,27.7376,30.07,-12.95
2021.06,메이크업화장품,3304992000,58407227,871606,67.011,105.13,4.81
2021.06,필러,3304999000,153830541,6027486,25.5215,33.08,-10.86
2021.06,마스크팩,3307904000,46352532,4015201,11.5443,36.42,-3.46
2021.06,동박,7410211000,40334631,525870,76.7008,64.76,16.28
2021.06,알루미늄박,7606120000,197070733,58583051,3.364,79.01,9.51
2021.06,레이저마커장비,8456119000,3909208,120403,32.4677,-45.18,-58.82
2021.06,DRAM모듈,8473304060,1197708939,181148,6611.7701,-1.07,25.73
2021.06,변압기,8504,219966371,11802018,18.638,30.65,11.15
2021.06,대형변압기,8504230000,26555037,2691657,9.8657,2.92,228.17
2021.06,리튬1차전지,8506500000,10191955,150818,67.5778,23.14,20.91
2021.06,리튬이온전지_ESS_proxy,850760,544530483,17320428,31.4386,49.25,11.65
2021.06,SSD,8523511000,1106811240,240725,4597.8242,14.63,14.69
2021.06,MLCC,8532240000,118169302,570006,207.3124,15.12,6.16
2021.06,PCB,853400,461183021,1660140,277.7977,19.61,5.28
2021.06,"GDDR기판, FPCB",8534002000,236693743,393724,601.1667,22.37,2.41
2021.06,PCB,8534009000,223236384,1252942,178.1698,17.33,8.65
2021.06,소켓,8536909090,76616948,1457253,52.5763,38.53,16.7
2021.06,태양광패널,8541430000,109718155,15977610,6.867,37.95,15.72
2021.06,반도체전체,8542,9512805404,1710581,5561.1546,41.45,9.8
2021.06,DRAM,8542321010,2176813167,126963,17145.2562,24.92,11.82
2021.06,NAND Flash,8542321030,595764768,53106,11218.4079,23.98,1.42
2021.06,MCP,8542323000,3209439778,93726,34242.7905,68.54,17.54
2021.06,해저케이블(2),8544602010,14176721,2311884,6.1321,-43.02,5.09
2021.06,해저케이블(1),8544603010,22272254,2803288,7.945,31.28,32.95
2021.06,체성분분석기,9018198000,6617323,47936,138.045,-13.11,17.63
2021.06,인터페이스보드,9030901000,32039595,28574,1121.2849,25.76,-0.12
2021.07,라면,1902301010,52402285,15152941,3.4582,-7.23,-2.74
2021.07,양극재 NCM,2841909020,334564905,13889376,24.0878,109.44,-6.77
2021.07,톡신,300249,16726530,24776,675.1102,-1.39,-35.91
2021.07,톡신,3002491000,16726530,24776,675.1102,-1.39,-35.91
2021.07,창상피복재,3005904000,6065868,126191,48.0689,87.2,15.58
2021.07,화장품,330499,504470226,19973495,25.257,14.92,-9.31
2021.07,기초화장품,3304991000,330918159,13240927,24.9921,17.27,-2.77
2021.07,메이크업화장품,3304992000,42318180,766225,55.2294,18.84,-27.55
2021.07,필러,3304999000,127515877,5609053,22.7339,6.93,-17.11
2021.07,마스크팩,3307904000,48456197,3701332,13.0916,38.14,4.54
2021.07,동박,7410211000,36043437,470952,76.5331,26.94,-10.64
2021.07,알루미늄박,7606120000,178082668,52703455,3.379,44.24,-9.64
2021.07,레이저마커장비,8456119000,8227863,186714,44.0667,-41.13,110.47
2021.07,DRAM모듈,8473304060,1236205018,174814,7071.5447,53.52,3.21
2021.07,변압기,8504,228827937,12151152,18.8318,18.29,4.03
2021.07,대형변압기,8504230000,25679526,2681511,9.5765,-13.4,-3.3
2021.07,리튬1차전지,8506500000,6914080,95647,72.2875,4.13,-32.16
2021.07,리튬이온전지_ESS_proxy,850760,529435556,16922071,31.2867,48.47,-2.77
2021.07,SSD,8523511000,1116644906,209292,5335.3444,33.59,0.89
2021.07,MLCC,8532240000,121619489,551221,220.6365,15.9,2.92
2021.07,PCB,853400,530174037,1729672,306.5171,17.75,14.96
2021.07,"GDDR기판, FPCB",8534002000,291868499,436829,668.1528,37.39,23.31
2021.07,PCB,8534009000,237257310,1282003,185.0677,0.64,6.28
2021.07,소켓,8536909090,81317952,1231190,66.0483,20.51,6.14
2021.07,태양광패널,8541430000,88053120,11252179,7.8254,-16.47,-19.75
2021.07,반도체전체,8542,9272408332,1716563,5401.7291,39.75,-2.53
2021.07,DRAM,8542321010,2281692195,125481,18183.5672,33.38,4.82
2021.07,NAND Flash,8542321030,494346575,46748,10574.7107,0.46,-17.02
2021.07,MCP,8542323000,2710736092,82514,32851.8323,72.24,-15.54
2021.07,해저케이블(2),8544602010,14501578,2562454,5.6593,16.75,2.29
2021.07,해저케이블(1),8544603010,33735176,4949333,6.8161,234.43,51.47
2021.07,체성분분석기,9018198000,5523000,42275,130.6446,19.75,-16.54
2021.07,인터페이스보드,9030901000,33481713,22767,1470.6247,13.47,4.5
2021.08,라면,1902301010,50884636,14797425,3.4387,8.62,-2.9
2021.08,양극재 NCM,2841909020,387296700,15846497,24.4405,147.52,15.76
